ISO	Language	Level	Category	CategoryEN	Region1Code	Region2Code	Region3Code	Region4Code	Region	Latitude	Longitude	Elevation	ISO2	FIPS	NUTS	HASC	STAT
AM	EN	1	Province	Province	11				Vayots Dzor	39.74776	45.39371	1588	AM-VD	AM10		AM.VD	
AM	HY	1	համայնք	Community	01				Արագածոտն	40.41706	44.19074	1557	AM-AG	AM01		AM.AG	
AM	HY	1	համայնք	Community	02				Արարատ	39.97950	44.56834	899	AM-AR	AM02		AM.AR	
AM	HY	1	համայնք	Community	03				Արմավիր	40.14866	44.14214	862	AM-AV	AM03		AM.AV	
AM	HY	1	համայնք	Community	04				Երևան	40.18111	44.51361	995	AM-ER	AM11		AM.ER	
AM	HY	1	համայնք	Community	05				Գեղարքունիկ	40.34007	45.31350	2044	AM-GR	AM04		AM.GR	
AM	HY	1	համայնք	Community	06				Կոտայք	40.34381	44.64707	1464	AM-KT	AM05		AM.KT	
AM	HY	1	համայնք	Community	07				Լոռի	40.93388	44.44648	1307	AM-LO	AM06		AM.LO	
AM	HY	1	համայնք	Community	08				Շիրակ	40.74834	43.90650	1649	AM-SH	AM07		AM.SH	
AM	HY	1	համայնք	Community	09				Սյունիք	39.32440	46.25857	1360	AM-SU	AM08		AM.SU	
AM	HY	1	համայնք	Community	10				Տավուշ	40.92497	45.12106	773	AM-TV	AM09		AM.TV	
AM	HY	1	համայնք	Community	11				Վայոց Ձոր	39.73808	45.40577	1588	AM-VD	AM10		AM.VD	
AO	PT	1	Provincia	Province	01				Bengo	-9.01697	13.74930	375	AO-BGO	AO19		AO.BO	18
BG	EN	1	Region	Region	04				Veliko Tarnovo	43.03714	25.74308	241	BG-04	BU62	BG321	BG.VT	VTR
BG	EN	1	Region	Region	05				Vidin	43.84026	22.71655	319	BG-05	BU63	BG311	BG.VD	VID
BG	EN	1	Region	Region	06				Vratsa	43.33845	23.77744	486	BG-06	BU64	BG313	BG.VR	VRC
BG	EN	1	Region	Region	07				Gabrovo	42.90003	25.36793	623	BG-07	BU41	BG322	BG.GB	GAB
BG	EN	1	Region	Region	08				Dobrich	43.64079	27.89686	202	BG-08	BU40	BG332	BG.DO	DOB
BG	EN	1	Region	Region	09				Kardzhali	41.57448	25.39126	538	BG-09	BU44	BG425	BG.KZ	KRZ
BG	EN	1	Region	Region	10				Kyustendil	42.30342	22.81344	1007	BG-10	BU45	BG415	BG.KY	KNL
BG	EN	1	Region	Region	11				Lovech	43.03391	24.59276	507	BG-11	BU46	BG315	BG.LV	LOV
BG	EN	1	Region	Region	12				Montana	43.46737	23.24762	420	BG-12	BU47	BG312	BG.MT	MON
BG	EN	1	Region	Region	13				Pazardzhik	42.17833	24.15782	1148	BG-13	BU48	BG423	BG.PZ	PAZ
BG	EN	1	Region	Region	14				Pernik	42.65457	22.80400	737	BG-14	BU49	BG414	BG.PN	PER
BG	EN	1	Region	Region	15				Pleven	43.46670	24.63217	185	BG-15	BU50	BG314	BG.PV	PVN
BR	PT	1	Estado	State	51				Mato Grosso	-12.65397	-55.76654	406	BR-MT	BR14		BR.MT	51
BR	PT	1	Estado	State	52				Goiás	-15.45963	-49.59232	886	BR-GO	BR29		BR.GO	52
CH	FR	1	Cantón	State	05				Bâle-Campagne	47.45839	7.70249	429	CH-BL	SZ03		CH.BL	13
CH	FR	1	Cantón	State	06				Bâle-Ville	47.55966	7.60511	268	CH-BS	SZ04		CH.BS	12
CH	FR	1	Cantón	State	07				Fribourg	46.75698	7.05634	716	CH-FR	SZ06		CH.FR	10
CH	FR	1	Cantón	State	08				Genève	46.21099	6.15864	439	CH-GE	SZ07		CH.GE	25
CH	FR	1	Cantón	State	09				Glaris	47.02242	9.06934	531	CH-GL	SZ08		CH.GL	08
CH	FR	1	Cantón	State	10				Grisons	46.67986	9.55219	756	CH-GR	SZ09		CH.GR	18
CH	FR	1	Cantón	State	11				Jura	47.34576	7.14991	471	CH-JU	SZ26		CH.JU	26
CH	FR	1	Cantón	State	12				Lucerne	47.11826	8.13854	559	CH-LU	SZ11		CH.LU	03
CH	FR	1	Cantón	State	13				Neuchâtel	46.99717	6.80421	536	CH-NE	SZ12		CH.NE	24
BL	FR	1	Region	Region	07				Saint Barthélemy	17.90085	-62.81382	94	-	-			
BM	EN	1	Parish	Parish	01				Devonshire	32.31129	-64.75969	1	DEV	BD01		BM.DE	01
BM	EN	1	Parish	Parish	02				Hamilton	32.29482	-64.78136	1	HAM	BD02		BM.HA	02
BM	EN	1	Parish	Parish	04				Paget	32.28133	-64.77849	1	PAG	BD04		BM.PA	04
BM	EN	1	Parish	Parish	05				Pembroke	32.30077	-64.79609	1	PEM	BM05		BM.PE	05
BM	EN	1	Municipality	Municipality	06				Town of St. George	32.38275	-64.67596	1	SG	BD06		BM.SG	06
BM	EN	1	Parish	Parish	07				Saint George's	32.36561	-64.68272	1	SGE	BD07		BM.SC	07
BM	EN	1	Parish	Parish	08				Sandys	32.30005	-64.86777	1	SAN	BD08		BM.SA	08
BM	EN	1	Parish	Parish	09				Smith's	32.31332	-64.73103	1	SMI	BD09		BM.SM	09
